Source,Target,Weight,Book
indra,tara,4,2
sugriva,tara,4,2
sugriva,gandhamadan,2,2
tara,gandhamadan,2,2
gandhamadan,nala,1,2
gandhamadan,visvakarma,1,2
gandhamadan,agni,1,2
gandhamadan,nila,1,2
nala,visvakarma,1,2
nala,agni,1,2
nala,nila,1,2
visvakarma,agni,1,2
visvakarma,nila,1,2
visvakarma,asvins,1,2
agni,nila,1,2
agni,asvins,1,2
nila,asvins,1,2
asvins,dwivida,1,2
asvins,mainda,1,2
asvins,varun,1,2
dwivida,mainda,1,2
dwivida,varun,1,2
dwivida,sushen,1,2
dwivida,sarabh,1,2
dwivida,hanuman,1,2
mainda,varun,1,2
mainda,sushen,1,2
mainda,sarabh,1,2
mainda,hanuman,1,2
varun,sushen,1,2
varun,sarabh,1,2
varun,hanuman,1,2
sushen,sarabh,1,2
sushen,hanuman,1,2
sarabh,hanuman,1,2
hanuman,garud,1,2
santa,vasishtha,6,2
sumitra,santa,2,2
kaikeyi,santa,2,2
champa,lomapad,1,2
chaitra,aditi,1,2
aditi,vrihaspati,2,2
vrihaspati,kausalya,1,2
vrihaspati,rama,1,2
kausalya,rama,9,2
rama,aditi,7,2
ravan,vishnu,1,2
ravan,kaikeyi,1,2
vishnu,kaikeyi,5,2
vishnu,bharat,7,2
kaikeyi,bharat,2,2
kaikeyi,sumitra,2,2
bharat,sumitra,4,2
bharat,lakshman,10,2
bharat,satrughna,9,2
sumitra,lakshman,3,2
sumitra,satrughna,3,2
sumitra,vishnu,3,2
sumitra,pushya,4,2
sumitra,mina,4,2
lakshman,satrughna,6,2
lakshman,vishnu,6,2
lakshman,pushya,6,2
lakshman,mina,6,2
satrughna,vishnu,3,2
satrughna,pushya,3,2
satrughna,mina,3,2
pushya,mina,1,2
pushya,bharat,1,2
mina,bharat,1,2
vasishtha,rama,15,2
vasishtha,bharat,1,2
vasishtha,kaikeyi,1,2
vasishtha,sumitra,1,2
ayodhya,visvamitra,2,2
indra,brahma,2,2
rama,raghu,13,2
pulastya,ravan,1,2
maricha,suvahu,4,2
sunda,upasunda,1,2
sunda,maricha,3,2
sunda,suvahu,1,2
upasunda,maricha,1,2
upasunda,suvahu,1,2
visvamitra,vasishtha,10,2
ikshvaku,raghu,3,2
krisasva,daksha,2,2
krisasva,jaya,2,2
daksha,jaya,2,2
vasishtha,lakshman,6,2
rama,lakshman,24,2
kusik,rama,3,2
kusik,lakshman,1,2
kusik,visvamitra,1,2
kusik,wind-god,1,2
visvamitra,wind-god,1,2
raghu,lakshman,6,2
indra,lakshman,2,2
asvins,indra,1,2
siva,sarju,1,2
sarju,rama,2,2
visvamitra,sarju,1,2
sarju,ganga,1,2
kandarpa,uma,1,2
kandarpa,sthanu,1,2
uma,sthanu,1,2
kailasa,brahma,1,2
kailasa,manas,1,2
brahma,manas,2,2
brahma,sarju,4,2
