Source,Target,Book_no,Weight
ahalya,brahmadatta,1,0.16854803
ahalya,chandala,1,0.33153754
ahalya,dasaratha,1,0.63615596
ahalya,devarat,1,0.2921003
ahalya,dilipa,1,0.5342199
ahalya,diti,1,0.33270437
ahalya,fame,1,0.6535902
ahalya,fate,1,0.6430095
ahalya,fire,1,0.60758007
ahalya,fortune,1,0.5641036
ahalya,gadhi,1,0.12090165
ahalya,ganga,1,0.622159
ahalya,gautam,1,0.49389902
ahalya,glory,1,0.6529833
ahalya,guha,1,0.33567217
ahalya,hanuman,1,0.51066905
ahalya,himalaya,1,0.29626897
ahalya,honour,1,0.63131595
ahalya,ikshvaku,1,0.34538603
ahalya,indra,1,0.64377105
ahalya,jahnu,1,0.19536126
ahalya,jahnavi,1,0.13837984
ahalya,jamadagni,1,0.12723447
ahalya,janak,1,0.64124006
ahalya,javali,1,0.24519122
ahalya,jaya,1,0.1338841
ahalya,justice,1,0.46602556
ahalya,kabandha,1,0.3671383
ahalya,kaikeyi,1,0.49414393
ahalya,kambojas,1,0.24665251
ahalya,kandarpa,1,0.38715035
ahalya,kasyap,1,0.56323856
ahalya,kausalya,1,0.4080617
ahalya,kesini,1,0.14264046
ahalya,krisasva,1,0.21303539
ahalya,kusa,1,0.2762508
ahalya,kusadhwaj,1,0.20445897
ahalya,kusanabha,1,0.45887038
ahalya,kusik,1,0.4260131
ahalya,lakshman,1,0.62159437
ahalya,lanka,1,0.2933539
ahalya,lomapad,1,0.35734844
ahalya,madhu,1,0.47539523
ahalya,madhushyand,1,0.26734865
ahalya,mahodaya,1,0.25727284
ahalya,manu,1,0.15053686
ahalya,maricha,1,0.5659845
ahalya,maru,1,0.15311888
ahalya,maruts,1,0.3577583
ahalya,mithila,1,0.46163598
ahalya,moon,1,0.6444846
ahalya,nabhag,1,0.31488004
ahalya,nagas,1,0.13667929
ahalya,nahush,1,0.22153592
ahalya,nala,1,0.27897927
ahalya,nandigrama,1,0.19420996
ahalya,narad,1,0.08728987
ahalya,narayan,1,0.20936073
ahalya,nimi,1,0.23480229
ahalya,ocean,1,0.5694583
ahalya,pahlavas,1,0.06051801
ahalya,phalguni,1,0.33509606
ahalya,raghu,1,0.5901297
ahalya,rain,1,0.636747
ahalya,rama,1,0.6548364
ahalya,rambha,1,-0.14337598
ahalya,ravan,1,0.6022145
ahalya,richika,1,0.28573638
ahalya,right,1,0.58054245
ahalya,rishyasring,1,0.57740617
ahalya,rudra,1,0.2603689
ahalya,sagar,1,0.6349255
ahalya,sakas,1,0.14636151
ahalya,sanatkumar,1,0.07530504
ahalya,santa,1,0.5892594
ahalya,satananda,1,0.4500701
