Canto,Person,Occurences,Normalised,Values,freq_norm,Value_norm,Person_num,CantoTotal,occ_freq
101,videhan,1,0.03571428571428571,0.03571428571428571,0.03225806451612903,0.001152073732718894,453,18,0.05555555555555555
101,sita,1,0.006060606060606061,0.006060606060606061,0.0030211480362537764,1.8309988098507736e-05,362,18,0.05555555555555555
101,vrihaspati,1,0.2,0.2,0.2,0.04000000000000001,473,18,0.05555555555555555
101,pushya,1,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.015873015873015872,308,18,0.05555555555555555
101,raghu,1,0.004545454545454545,0.004545454545454545,0.0025188916876574307,1.1449507671170139e-05,309,18,0.05555555555555555
101,janak,1,0.016666666666666666,0.016666666666666666,0.011764705882352941,0.000196078431372549,150,18,0.05555555555555555
101,kaikeyi,1,0.014492753623188406,0.014492753623188406,0.00847457627118644,0.00012281994595922377,161,18,0.05555555555555555
101,dandak,1,0.02040816326530612,0.02040816326530612,0.016666666666666666,0.0003401360544217687,76,18,0.05555555555555555
101,bharat,5,0.010416666666666666,0.05208333333333333,0.017605633802816902,0.00018339201877934271,57,18,0.2777777777777778
101,rama,1,0.002717391304347826,0.002717391304347826,0.0007168458781362007,1.947950755804893e-06,312,18,0.05555555555555555
101,satrughna,1,0.03125,0.03125,0.018518518518518517,0.0005787037037037037,354,18,0.05555555555555555
101,ayodhya,1,0.013513513513513514,0.013513513513513514,0.008849557522123894,0.00011958861516383641,51,18,0.05555555555555555
102,videhan,1,0.03571428571428571,0.03571428571428571,0.03225806451612903,0.001152073732718894,453,5,0.2
102,raghu,1,0.004545454545454545,0.004545454545454545,0.0025188916876574307,1.1449507671170139e-05,309,5,0.2
102,dandak,1,0.02040816326530612,0.02040816326530612,0.016666666666666666,0.0003401360544217687,76,5,0.2
102,sita,2,0.006060606060606061,0.012121212121212121,0.006042296072507553,3.661997619701547e-05,362,5,0.4
103,sita,1,0.006060606060606061,0.006060606060606061,0.0030211480362537764,1.8309988098507736e-05,362,1,1.0
104,rama,1,0.002717391304347826,0.002717391304347826,0.0007168458781362007,1.947950755804893e-06,312,2,0.5
104,videhan,1,0.03571428571428571,0.03571428571428571,0.03225806451612903,0.001152073732718894,453,2,0.5
105,videha,3,0.05263157894736842,0.15789473684210525,0.1111111111111111,0.005847953216374269,452,12,0.25
105,rama,3,0.002717391304347826,0.008152173913043478,0.002150537634408602,5.843852267414679e-06,312,12,0.25
105,savitri,1,0.5,0.5,0.5,0.25,357,12,0.08333333333333333
105,dyumatsena,1,1.0,1.0,1.0,1.0,106,12,0.08333333333333333
105,sita,1,0.006060606060606061,0.006060606060606061,0.0030211480362537764,1.8309988098507736e-05,362,12,0.08333333333333333
105,janak,1,0.016666666666666666,0.016666666666666666,0.011764705882352941,0.000196078431372549,150,12,0.08333333333333333
105,brahma,1,0.014285714285714285,0.014285714285714285,0.009900990099009901,0.00014144271570014144,63,12,0.08333333333333333
105,dandak,1,0.02040816326530612,0.02040816326530612,0.016666666666666666,0.0003401360544217687,76,12,0.08333333333333333
106,sita,2,0.006060606060606061,0.012121212121212121,0.006042296072507553,3.661997619701547e-05,362,23,0.08695652173913043
106,lakshman,3,0.005263157894736842,0.015789473684210527,0.008021390374331552,4.221784407542922e-05,212,23,0.13043478260869565
106,rama,6,0.002717391304347826,0.016304347826086956,0.004301075268817204,1.1687704534829358e-05,312,23,0.2608695652173913
106,kausalya,3,0.017543859649122806,0.05263157894736842,0.03296703296703297,0.000578368999421631,180,23,0.13043478260869565
106,sumitra,1,0.023255813953488372,0.023255813953488372,0.015384615384615385,0.00035778175313059033,385,23,0.043478260869565216
106,indra,1,0.006369426751592357,0.006369426751592357,0.004329004329004329,2.7573275980919295e-05,141,23,0.043478260869565216
106,asvapati,1,0.25,0.25,0.25,0.0625,44,23,0.043478260869565216
106,kaikeyi,1,0.014492753623188406,0.014492753623188406,0.00847457627118644,0.00012281994595922377,161,23,0.043478260869565216
106,bharat,1,0.010416666666666666,0.010416666666666666,0.0035211267605633804,3.6678403755868545e-05,57,23,0.043478260869565216
106,videhan,1,0.03571428571428571,0.03571428571428571,0.03225806451612903,0.001152073732718894,453,23,0.043478260869565216
106,varun,1,0.058823529411764705,0.058823529411764705,0.05263157894736842,0.003095975232198142,438,23,0.043478260869565216
106,raghu,1,0.004545454545454545,0.004545454545454545,0.0025188916876574307,1.1449507671170139e-05,309,23,0.043478260869565216
106,vasishtha,1,0.023809523809523808,0.023809523809523808,0.011764705882352941,0.00028011204481792715,440,23,0.043478260869565216
107,suyajna,2,1.0,2.0,1.0,1.0,397,34,0.058823529411764705
107,rama,10,0.002717391304347826,0.02717391304347826,0.007168458781362007,1.9479507558048932e-05,312,34,0.29411764705882354
107,sumitra,1,0.023255813953488372,0.023255813953488372,0.015384615384615385,0.00035778175313059033,385,34,0.029411764705882353
107,lakshmi,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02040816326530612,213,34,0.029411764705882353
107,agni,1,0.3333333333333333,0.3333333333333333,0.25,0.08333333333333333,6,34,0.029411764705882353
107,raghu,3,0.004545454545454545,0.013636363636363636,0.007556675062972292,3.4348523013510414e-05,309,34,0.08823529411764706
107,sita,2,0.006060606060606061,0.012121212121212121,0.006042296072507553,3.661997619701547e-05,362,34,0.058823529411764705
107,lakshman,4,0.005263157894736842,0.021052631578947368,0.0106951871657754,5.629045876723895e-05,212,34,0.11764705882352941
107,brahma,1,0.014285714285714285,0.014285714285714285,0.009900990099009901,0.00014144271570014144,63,34,0.029411764705882353
107,agastya,1,0.07142857142857142,0.07142857142857142,0.037037037037037035,0.0026455026455026454,4,34,0.029411764705882353
107,kusik,1,0.06666666666666667,0.06666666666666667,0.05,0.0033333333333333335,208,34,0.029411764705882353
107,taittiriya,1,1.0,1.0,1.0,1.0,405,34,0.029411764705882353
107,kausalya,1,0.017543859649122806,0.017543859649122806,0.01098901098901099,0.000192789666473877,180,34,0.029411764705882353
107,garga,1,1.0,1.0,1.0,1.0,116,34,0.029411764705882353
107,sarju,2,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.006802721088435373,349,34,0.058823529411764705
107,trijat,2,1.0,2.0,1.0,1.0,416,34,0.058823529411764705
108,sita,3,0.006060606060606061,0.01818181818181818,0.00906344410876133,5.4929964295523215e-05,362,13,0.23076923076923078
108,rama,7,0.002717391304347826,0.019021739130434784,0.005017921146953405,1.3635655290634252e-05,312,13,0.5384615384615384
108,kaikeyi,1,0.014492753623188406,0.014492753623188406,0.00847457627118644,0.00012281994595922377,161,13,0.07692307692307693
108,kailasa,1,0.058823529411764705,0.058823529411764705,0.05555555555555555,0.00326797385620915,162,13,0.07692307692307693
108,sumantra,1,0.034482758620689655,0.034482758620689655,0.01639344262295082,0.0005652911249293387,384,13,0.07692307692307693
109,sumantra,4,0.034482758620689655,0.13793103448275862,0.06557377049180328,0.0022611644997173547,384,22,0.18181818181818182
109,rama,5,0.002717391304347826,0.01358695652173913,0.0035842293906810036,9.739753779024466e-06,312,22,0.22727272727272727
109,sita,3,0.006060606060606061,0.01818181818181818,0.00906344410876133,5.4929964295523215e-05,362,22,0.13636363636363635
109,dandak,1,0.02040816326530612,0.02040816326530612,0.016666666666666666,0.0003401360544217687,76,22,0.045454545454545456
109,lakshman,2,0.005263157894736842,0.010526315789473684,0.0053475935828877,2.8145229383619476e-05,212,22,0.09090909090909091
109,brahma,1,0.014285714285714285,0.014285714285714285,0.009900990099009901,0.00014144271570014144,63,22,0.045454545454545456
109,kaikeyi,3,0.014492753623188406,0.043478260869565216,0.025423728813559324,0.00036845983787767134,161,22,0.13636363636363635
109,raghu,2,0.004545454545454545,0.00909090909090909,0.005037783375314861,2.2899015342340278e-05,309,22,0.09090909090909091
109,bharat,1,0.010416666666666666,0.010416666666666666,0.0035211267605633804,3.6678403755868545e-05,57,22,0.045454545454545456
110,dasaratha,1,0.011904761904761904,0.011904761904761904,0.009259259259259259,0.00011022927689594356,82,14,0.07142857142857142
110,mahendra,1,0.07142857142857142,0.07142857142857142,0.0625,0.004464285714285714,229,14,0.07142857142857142
110,ikshvaku,1,0.016129032258064516,0.016129032258064516,0.012048192771084338,0.000194325689856199,139,14,0.07142857142857142
110,bharat,1,0.010416666666666666,0.010416666666666666,0.0035211267605633804,3.6678403755868545e-05,57,14,0.07142857142857142
110,rama,6,0.002717391304347826,0.016304347826086956,0.004301075268817204,1.1687704534829358e-05,312,14,0.42857142857142855
110,kekaya,1,0.1111111111111111,0.1111111111111111,0.1,0.011111111111111112,183,14,0.07142857142857142
110,kuvera,1,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.00641025641025641,211,14,0.07142857142857142
110,sumantra,1,0.034482758620689655,0.034482758620689655,0.01639344262295082,0.0005652911249293387,384,14,0.07142857142857142
110,kaikeyi,1,0.014492753623188406,0.014492753623188406,0.00847457627118644,0.00012281994595922377,161,14,0.07142857142857142
111,ikshvaku,1,0.016129032258064516,0.016129032258064516,0.012048192771084338,0.000194325689856199,139,22,0.045454545454545456
111,sumantra,1,0.034482758620689655,0.034482758620689655,0.01639344262295082,0.0005652911249293387,384,22,0.045454545454545456
111,raghu,2,0.004545454545454545,0.00909090909090909,0.005037783375314861,2.2899015342340278e-05,309,22,0.09090909090909091
111,rama,5,0.002717391304347826,0.01358695652173913,0.0035842293906810036,9.739753779024466e-06,312,22,0.22727272727272727
111,ayodhya,1,0.013513513513513514,0.013513513513513514,0.008849557522123894,0.00011958861516383641,51,22,0.045454545454545456
111,bharat,3,0.010416666666666666,0.03125,0.01056338028169014,0.00011003521126760562,57,22,0.13636363636363635
111,kaikeyi,3,0.014492753623188406,0.043478260869565216,0.025423728813559324,0.00036845983787767134,161,22,0.13636363636363635
111,dasaratha,1,0.011904761904761904,0.011904761904761904,0.009259259259259259,0.00011022927689594356,82,22,0.045454545454545456
111,asamanj,2,0.3333333333333333,0.6666666666666666,0.4,0.13333333333333333,37,22,0.09090909090909091
111,sarju,2,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.006802721088435373,349,22,0.09090909090909091
111,indra,1,0.006369426751592357,0.006369426751592357,0.004329004329004329,2.7573275980919295e-05,141,22,0.045454545454545456
112,rama,9,0.002717391304347826,0.024456521739130432,0.0064516129032258064,1.753155680224404e-05,312,23,0.391304347826087
112,kaikeyi,2,0.014492753623188406,0.028985507246376812,0.01694915254237288,0.00024563989191844754,161,23,0.08695652173913043
112,lakshman,2,0.005263157894736842,0.010526315789473684,0.0053475935828877,2.8145229383619476e-05,212,23,0.08695652173913043
112,janak,1,0.016666666666666666,0.016666666666666666,0.011764705882352941,0.000196078431372549,150,23,0.043478260869565216
112,sita,7,0.006060606060606061,0.04242424242424243,0.021148036253776436,0.00012816991668955415,362,23,0.30434782608695654
112,kekaya,1,0.1111111111111111,0.1111111111111111,0.1,0.011111111111111112,183,23,0.043478260869565216
112,satrughna,1,0.03125,0.03125,0.018518518518518517,0.0005787037037037037,354,23,0.043478260869565216
113,sita,2,0.006060606060606061,0.012121212121212121,0.006042296072507553,3.661997619701547e-05,362,9,0.2222222222222222
113,ikshvaku,1,0.016129032258064516,0.016129032258064516,0.012048192771084338,0.000194325689856199,139,9,0.1111111111111111
113,kaikeyi,1,0.014492753623188406,0.014492753623188406,0.00847457627118644,0.00012281994595922377,161,9,0.1111111111111111
113,janak,2,0.016666666666666666,0.03333333333333333,0.023529411764705882,0.000392156862745098,150,9,0.2222222222222222
113,rama,2,0.002717391304347826,0.005434782608695652,0.0014336917562724014,3.895901511609786e-06,312,9,0.2222222222222222
113,yama,1,0.02857142857142857,0.02857142857142857,0.02702702702702703,0.0007722007722007722,481,9,0.1111111111111111
114,rama,3,0.002717391304347826,0.008152173913043478,0.002150537634408602,5.843852267414679e-06,312,15,0.2
114,raghu,1,0.004545454545454545,0.004545454545454545,0.0025188916876574307,1.1449507671170139e-05,309,15,0.06666666666666667
114,kaikeyi,2,0.014492753623188406,0.028985507246376812,0.01694915254237288,0.00024563989191844754,161,15,0.13333333333333333
114,sumantra,1,0.034482758620689655,0.034482758620689655,0.01639344262295082,0.0005652911249293387,384,15,0.06666666666666667
114,dasaratha,2,0.011904761904761904,0.023809523809523808,0.018518518518518517,0.0002204585537918871,82,15,0.13333333333333333
114,sita,3,0.006060606060606061,0.01818181818181818,0.00906344410876133,5.4929964295523215e-05,362,15,0.2
